REGION,DISTRICT NAME AND NUMBER,CUMULATIVE YEAR END ENROLLMENT,DISCIPLINE POPULATION,DISCIPLINE RECORD COUNT,STUDENTS EXPELLED,STUDENTS EXPELLED TO JJAEP,STUDENTS REMOVED TO A DAEP,STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL
3,MATAGORDA ISD 158904,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,MEYERSVILLE ISD 062906,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,MOULTON ISD 143902,304.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NORDHEIM ISD 062902,166.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NURSERY ISD 235904,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PALACIOS ISD 158905,1500.0,88.0,227.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REFUGIO ISD 196903,747.0,136.0,331.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3,RICE CISD 045903,1564.0,234.0,582.0,0.0,0.0,52.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
3,RUNGE ISD 128903,317.0,28.0,76.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SHINER ISD 143903,674.0,44.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SWEET HOME ISD 143905,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TIDEHAVEN ISD 158902,998.0,108.0,266.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,VAN VLECK ISD 158906,1146.0,183.0,566.0,0.0,0.0,24.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
3,VICTORIA ISD 235902,15322.0,2687.0,9540.0,11.0,0.0,419.0,2141.0,229.0,0.0,0.0,119.0,0.0,0.0,1218.0
3,VYSEHRAD ISD 143904,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WEIMAR ISD 045905,682.0,94.0,218.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WESTHOFF ISD 062905,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WHARTON ISD 241904,2234.0,477.0,1508.0,0.0,0.0,67.0,428.0,26.0,0.0,0.0,17.0,0.0,0.0,148.0
3,WOODSBORO ISD 196902,530.0,47.0,80.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,YOAKUM ISD 062903,1718.0,172.0,524.0,0.0,0.0,35.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
3,YORKTOWN ISD 062904,592.0,67.0,142.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A+ UNLIMITED POTENTIAL 101871,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACADEMY OF ACCELERATED LEARNING IN 101810,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACCELERATED INTERMEDIATE ACADEMY 101849,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALDINE ISD 101902,72897.0,14394.0,48309.0,0.0,0.0,1207.0,12955.0,699.0,0.0,0.0,575.0,0.0,0.0,5550.0
4,ALIEF ISD 101903,50751.0,7197.0,18870.0,0.0,0.0,974.0,5590.0,409.0,0.0,0.0,341.0,0.0,0.0,3305.0
4,ALIEF MONTESSORI COMMUNITY SCHOOL 101815,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ALVIN ISD 020901,26363.0,2549.0,6108.0,0.0,0.0,285.0,2400.0,129.0,0.0,0.0,113.0,0.0,0.0,415.0
4,AMBASSADORS PREPARATORY ACADEMY 084804,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMIGOS POR VIDA-FRIENDS FOR LIFE P 101819,521.0,30.0,46.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
4,ANAHUAC ISD 036901,1432.0,241.0,641.0,0.0,0.0,34.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
4,ANGLETON ISD 020902,7606.0,765.0,1873.0,14.0,14.0,203.0,645.0,115.0,0.0,0.0,114.0,0.0,0.0,140.0
4,ARISTOI CLASSICAL ACADEMY 101803,918.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
4,BARBERS HILL ISD 036902,5717.0,352.0,820.0,0.0,0.0,67.0,325.0,28.0,0.0,0.0,19.0,0.0,0.0,21.0
4,BEATRICE MAYES INSTITUTE CHARTER S 101847,466.0,57.0,82.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
4,BETA ACADEMY 101870,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,BRAZOSPORT ISD 020905,13352.0,1750.0,4317.0,0.0,0.0,310.0,1530.0,177.0,0.0,0.0,127.0,0.0,0.0,468.0
4,CALVIN NELMS CHARTER SCHOOLS 101837,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CHANNELVIEW ISD 101905,10410.0,631.0,1524.0,0.0,0.0,115.0,390.0,55.0,0.0,0.0,39.0,0.0,0.0,333.0
4,CLEAR CREEK ISD 084910,44096.0,3963.0,10641.0,0.0,0.0,424.0,3582.0,165.0,0.0,0.0,239.0,0.0,0.0,1059.0
4,CLEVELAND ISD 146901,6316.0,1207.0,3417.0,0.0,0.0,177.0,1010.0,147.0,0.0,0.0,71.0,0.0,0.0,566.0
4,COLUMBIA-BRAZORIA ISD 020907,3417.0,433.0,1091.0,0.0,0.0,38.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
4,COMQUEST ACADEMY 101842,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CROSBY ISD 101906,6639.0,850.0,3191.0,0.0,0.0,98.0,713.0,48.0,0.0,0.0,15.0,0.0,0.0,290.0
4,CYPRESS-FAIRBANKS ISD 101907,122060.0,14846.0,48149.0,24.0,24.0,1123.0,12781.0,139.0,0.0,0.0,601.0,0.0,0.0,6209.0
4,DAMON ISD 020910,223.0,50.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DANBURY ISD 020904,812.0,98.0,257.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
4,DAYTON ISD 146902,5865.0,811.0,2663.0,0.0,0.0,153.0,751.0,82.0,0.0,0.0,0.0,0.0,0.0,158.0
4,DEER PARK ISD 101908,13649.0,1364.0,3655.0,12.0,0.0,232.0,1258.0,130.0,12.0,0.0,101.0,0.0,0.0,237.0
4,DEVERS ISD 146903,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DICKINSON ISD 084901,11992.0,1480.0,3635.0,15.0,0.0,212.0,1262.0,104.0,0.0,0.0,118.0,0.0,0.0,493.0
4,DRAW ACADEMY 101856,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,EXCEL ACADEMY 101811,1698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FORT BEND ISD 079907,78869.0,5143.0,11385.0,0.0,10.0,649.0,3715.0,108.0,0.0,0.0,260.0,0.0,0.0,2567.0
4,FRIENDSWOOD ISD 084911,6222.0,181.0,333.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
4,GALENA PARK ISD 101910,24037.0,2579.0,7432.0,0.0,0.0,298.0,2128.0,71.0,0.0,0.0,160.0,0.0,0.0,1214.0
4,GALVESTON ISD 084902,7685.0,1500.0,5670.0,0.0,0.0,146.0,1233.0,60.0,0.0,0.0,47.0,0.0,0.0,398.0
4,GEORGE I SANCHEZ CHARTER 101804,1066.0,114.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
4,GOOSE CREEK CISD 101911,25363.0,3820.0,11987.0,0.0,0.0,377.0,3438.0,124.0,0.0,0.0,234.0,0.0,0.0,1319.0
4,HARDIN ISD 146904,1593.0,232.0,675.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
4,HARMONY SCHOOL OF EXCELLENCE 101858,5215.0,473.0,957.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
4,HARMONY SCHOOL OF SCIENCE - HOUSTO 101862,3577.0,263.0,436.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
4,HARMONY SCIENCE ACADEMY 101846,3558.0,327.0,620.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0
4,HEMPSTEAD ISD 237902,1749.0,336.0,933.0,0.0,0.0,55.0,294.0,11.0,0.0,0.0,0.0,0.0,0.0,135.0
4,HITCHCOCK ISD 084908,1845.0,351.0,1112.0,0.0,0.0,44.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0
4,HOUSTON GATEWAY ACADEMY INC 101828,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HOUSTON HEIGHTS HIGH SCHOOL 101821,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
