CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
ALDINE H S 101902001,2655.0,822.0,2756.0,,,92.0,788.0,67.0,,,46.0,,,219.0,4,ALDINE ISD 101902
ALDINE MIDDLE 101902041,985.0,312.0,1057.0,,,25.0,262.0,18.0,,,12.0,,,166.0,4,ALDINE ISD 101902
ALDINE NINTH GRADE SCHOOL 101902081,891.0,368.0,1763.0,,,33.0,355.0,18.0,,,22.0,,,88.0,4,ALDINE ISD 101902
ALDRIDGE EL 043910106,655.0,,10.0,,,,,,,,,,,,10,PLANO ISD 043910
ALEDO H S 184907001,1318.0,99.0,195.0,,,38.0,82.0,22.0,,,19.0,,,29.0,11,ALEDO ISD 184907
ALEDO MIDDLE 184907041,935.0,92.0,229.0,,,17.0,88.0,,,,,,,,11,ALEDO ISD 184907
ALEX SANGER EL 057905206,544.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ALEX SANGER PREPARATORY MIDDLE 057905355,192.0,10.0,14.0,,,,,,,,,,,,10,DALLAS ISD 057905
ALEX W SPENCE TALENTED/GIFTED ACAD 057905058,820.0,139.0,301.0,,,40.0,60.0,35.0,,,13.0,,,95.0,10,DALLAS ISD 057905
ALEXANDER EL 101903114,882.0,26.0,31.0,,,,,,,,,,,20.0,4,ALIEF ISD 101903
ALEXANDER MIDDLE 020908115,828.0,25.0,33.0,,,,25.0,,,,,,,,4,PEARLAND ISD 020908
ALFONSO BORREGO SR EL 071904104,544.0,42.0,81.0,,,,41.0,,,,,,,,19,SAN ELIZARIO ISD 071904
ALFONSO RAMIREZ EL 108904129,603.0,,11.0,,,,,,,,,,,,1,EDINBURG CISD 108904
ALFRED SORENSEN EL 108909112,726.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
ALICE CARLSON APPLIED LRN CTR 220905101,393.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
ALICE D CONTRERAS 220905220,691.0,17.0,17.0,,,,,,,,,,,10.0,11,FORT WORTH ISD 220905
ALICE H S 125901001,1374.0,292.0,967.0,,,58.0,232.0,23.0,,,,,,140.0,2,ALICE ISD 125901
ALICE JOHNSON J H 101905041,1272.0,259.0,685.0,,,19.0,217.0,,,,,,,105.0,4,CHANNELVIEW ISD 101905
ALICE PONDER EL 220908101,727.0,21.0,58.0,,,,21.0,,,,,,,,11,MANSFIELD ISD 220908
ALICE W DOUSE EL 014906140,976.0,90.0,277.0,,,,84.0,,,,,,,22.0,12,KILLEEN ISD 014906
ALICIA R CHACON 071905138,778.0,,,,,,,,,,,,,,19,YSLETA ISD 071905
ALIEF EARLY COLLEGE H S 101903012,400.0,,,,,,,,,,,,,,4,ALIEF ISD 101903
ALIEF LEARNING CTR (6-12) 101903005,,211.0,381.0,,,97.0,46.0,76.0,,,22.0,,,120.0,4,ALIEF ISD 101903
ALIEF LEARNING CTR (K-6) 101903205,,70.0,172.0,,,,17.0,,,,,,,62.0,4,ALIEF ISD 101903
ALIEF MIDDLE 101903041,1062.0,226.0,580.0,,,42.0,143.0,25.0,,,20.0,,,153.0,4,ALIEF ISD 101903
ALIEF MONTESSORI COMMUNITY SCHOOL 101815101,305.0,,,,,,,,,,,,,,4,ALIEF MONTESSORI COMMUNITY SCHOOL 101815
ALKEK EL 010902101,648.0,15.0,23.0,,,,14.0,,,,,,,,20,BANDERA ISD 010902
ALLEN & WILLIAM ARNOLD EL 108909130,716.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
ALLEN EL 015915106,655.0,,,,,,,,,,,,,,20,NORTHSIDE ISD 015915
ALLEN EL 043905129,679.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
ALLEN EL 178904101,382.0,17.0,30.0,,,,,,,,,,,14.0,2,CORPUS CHRISTI ISD 178904
ALLEN H S 043901001,5053.0,397.0,1146.0,,,104.0,336.0,45.0,,,64.0,,,165.0,10,ALLEN ISD 043901
ALLIENE MULLENDORE EL 220902105,403.0,28.0,93.0,,,,27.0,,,,,,,,11,BIRDVILLE ISD 220902
ALLISON EL 227901101,517.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
ALLISON L STEELE E L C 094902002,178.0,,13.0,,,,,,,,,,,,20,SCHERTZ-CIBOLO-U CITY ISD 094902
ALMA BREWER STRAWN EL 028902106,571.0,17.0,26.0,,,,16.0,,,,,,,,13,LOCKHART ISD 028902
ALMEDA EL 101912104,908.0,17.0,22.0,,,,,,,,,,,12.0,4,HOUSTON ISD 101912
ALOE EL 235902101,512.0,14.0,15.0,,,,,,,,,,,,3,VICTORIA ISD 235902
ALONSO S PERALES EL 015905106,534.0,63.0,136.0,,,,55.0,,,,,,,14.0,20,EDGEWOOD ISD 015905
ALPHA 170906012,190.0,64.0,205.0,,,26.0,37.0,17.0,,,12.0,,,54.0,6,MAGNOLIA ISD 170906
ALPINE EL 022901101,478.0,,,,,,,,,,,,,,18,ALPINE ISD 022901
ALPINE H S 022901001,325.0,61.0,99.0,,,13.0,59.0,,,,,,,,18,ALPINE ISD 022901
ALPINE MIDDLE 022901041,350.0,41.0,67.0,,,13.0,31.0,,,,,,,,18,ALPINE ISD 022901
ALTA LOMA EL 226903101,365.0,,29.0,,,,,,,,,,,,15,SAN ANGELO ISD 226903
ALTA VISTA EL 071902102,343.0,,,,,,,,,,,,,,19,EL PASO ISD 071902
ALTA VISTA EL 161914101,534.0,55.0,106.0,,,,54.0,,,,,,,,12,WACO ISD 161914
ALTAMIRA ACADEMY 227803103,518.0,,,,,,,,,,,,,,13,WAYSIDE SCHOOLS 227803
ALTER DISCIPLINE CAMPUS 220918003,,46.0,70.0,,,30.0,,,,,30.0,,,15.0,11,EAGLE MT-SAGINAW ISD 220918
ALTER ED CTR 068901004,,161.0,282.0,17.0,,81.0,,24.0,,,61.0,,,91.0,18,ECTOR COUNTY ISD 068901
ALTER ED PROG 220916004,,95.0,205.0,,,57.0,,28.0,,,29.0,,,50.0,11,HURST-EULESS-BEDFORD ISD 220916
ALTER H S 015910012,,257.0,644.0,39.0,21.0,133.0,139.0,43.0,19.0,,97.0,23.0,,88.0,20,NORTH EAST ISD 015910
ALTER LEARNING CTR 126906002,10.0,,,,,,,,,,,,,,11,KEENE ISD 126906
ALTER MIDDLE 015910053,,212.0,823.0,18.0,17.0,58.0,167.0,27.0,,,34.0,,,133.0,20,NORTH EAST ISD 015910
ALTER SCH 086901002,55.0,,,,,,,,,,,,,,13,FREDERICKSBURG ISD 086901
ALTERNATIVE CENTER 015905042,,69.0,107.0,,,24.0,,13.0,,,11.0,,,45.0,20,EDGEWOOD ISD 015905
ALTERNATIVE EL 015910160,,,12.0,,,,,,,,,,,,20,NORTH EAST ISD 015910
ALTERNATIVE H S 015915008,,331.0,740.0,,,164.0,118.0,57.0,,,114.0,,,170.0,20,NORTHSIDE ISD 015915
ALTERNATIVE LEARNING CENTER 079901004,,92.0,207.0,,,54.0,,39.0,,,18.0,,,60.0,4,LAMAR CISD 079901
ALTERNATIVE LEARNING CENTER 227901012,,121.0,184.0,11.0,,24.0,,,,,,,,103.0,13,AUSTIN ISD 227901
ALTERNATIVE MIDDLE 015915062,,141.0,284.0,,,67.0,,33.0,,,38.0,,,88.0,20,NORTHSIDE ISD 015915
ALTERNATIVE SCHOOL 036902005,,13.0,17.0,,,11.0,,,,,,,,,4,BARBERS HILL ISD 036902
ALTO BONITO EL 214901110,593.0,,,,,,,,,,,,,,1,RIO GRANDE CITY CISD 214901
ALTO EL 037901101,297.0,28.0,68.0,,,,27.0,,,,,,,,7,ALTO ISD 037901
ALTO H S 037901001,215.0,62.0,192.0,,,,61.0,,,,,,,22.0,7,ALTO ISD 037901
ALTO MIDDLE 037901041,210.0,37.0,108.0,,,,37.0,,,,,,,,7,ALTO ISD 037901
ALTON BOWEN EL 021902117,435.0,,,,,,,,,,,,,,6,BRYAN ISD 021902
ALTON BOYD EL 043901102,728.0,61.0,144.0,,,,55.0,,,,,,,21.0,10,ALLEN ISD 043901
ALTON EL 108908107,506.0,21.0,45.0,,,,16.0,,,,,,,,1,MISSION CISD 108908
ALTON EL 239901101,503.0,27.0,42.0,,,,26.0,,,,,,,,6,BRENHAM ISD 239901
ALTON MEMORIAL J H 108908043,986.0,247.0,856.0,,,20.0,216.0,10.0,,,14.0,,,122.0,1,MISSION CISD 108908
ALVARADO EL-NORTH 126901102,411.0,,15.0,,,,,,,,,,,,11,ALVARADO ISD 126901
ALVARADO EL-SOUTH 126901101,424.0,44.0,137.0,,,,44.0,,,,,,,,11,ALVARADO ISD 126901
ALVARADO H S 126901001,1202.0,370.0,1038.0,,,33.0,343.0,16.0,,,17.0,,,70.0,11,ALVARADO ISD 126901
ALVARADO INT 126901104,947.0,217.0,492.0,,,,185.0,,,,,,,74.0,11,ALVARADO ISD 126901
ALVARADO J H 126901041,662.0,166.0,538.0,,,,146.0,,,,,,,,11,ALVARADO ISD 126901
ALVAREZ EL 108906101,482.0,13.0,26.0,,,,,,,,,,,,1,MCALLEN ISD 108906
ALVIN EL 020901101,544.0,45.0,85.0,,,,38.0,,,,,,,15.0,4,ALVIN ISD 020901
ALVIN H S 020901001,2879.0,545.0,1451.0,,,94.0,532.0,45.0,,,63.0,,,93.0,4,ALVIN ISD 020901
ALVIN J H 020901041,924.0,136.0,351.0,,,14.0,129.0,,,,,,,16.0,4,ALVIN ISD 020901
ALVIN PRI 020901102,620.0,13.0,50.0,,,,13.0,,,,,,,,4,ALVIN ISD 020901
ALVIN V ANDERSON RISE ACADEMY 212905010,221.0,24.0,35.0,,,,,,,,,,,23.0,7,TYLER ISD 212905
ALVIS C STORY EL 043901105,557.0,19.0,30.0,,,,18.0,,,,,,,,10,ALLEN ISD 043901
ALVORD EL 249901101,368.0,,,,,,,,,,,,,,11,ALVORD ISD 249901
ALVORD H S 249901001,221.0,32.0,68.0,,,,31.0,,,,,,,16.0,11,ALVORD ISD 249901
ALVORD MIDDLE 249901041,187.0,,,,,,27.0,,,,,,,,11,ALVORD ISD 249901
