CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
MCLEAN 6TH GRADE 220905069,576.0,75.0,174.0,,,,66.0,,,,,,,33.0,11,FORT WORTH ISD 220905
MCLEAN MIDDLE 220905050,1048.0,218.0,691.0,,,15.0,161.0,,,,,,,141.0,11,FORT WORTH ISD 220905
MCLEAN SCHOOL 090903001,261.0,,,,,,,,,,,,,,16,MCLEAN ISD 090903
MCLEOD EL 034906101,161.0,,,,,,,,,,,,,,8,MCLEOD ISD 034906
MCLEOD H S 034906001,142.0,14.0,20.0,,,,14.0,,,,,,,,8,MCLEOD ISD 034906
MCLEOD MIDDLE 034906041,99.0,,,,,,,,,,,,,,8,MCLEOD ISD 034906
MCMASTERS EL 101917122,492.0,,16.0,,,,,,,,,,,,4,PASADENA ISD 101917
MCMATH MIDDLE 061901046,819.0,123.0,344.0,,,21.0,118.0,,,,,,,28.0,11,DENTON ISD 061901
MCMICHAEL MIDDLE 174904043,779.0,271.0,855.0,,,30.0,256.0,19.0,,,17.0,,,122.0,7,NACOGDOCHES ISD 174904
MCMULLAN EL 101905104,654.0,18.0,37.0,,,,,,,,,,,16.0,4,CHANNELVIEW ISD 101905
MCMULLEN COUNTY SCHOOL 162904001,279.0,12.0,16.0,,,,12.0,,,,,,,,2,MCMULLEN COUNTY ISD 162904
MCNAIR EL 061901106,564.0,11.0,18.0,,,,,,,,,,,,11,DENTON ISD 061901
MCNAMARA EL 101912227,964.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
MCNEIL H S 246909004,2794.0,211.0,591.0,,,83.0,163.0,40.0,,,51.0,,,87.0,13,ROUND ROCK ISD 246909
MCNIEL MIDDLE 243905047,1272.0,236.0,807.0,,,14.0,231.0,,,,,,,27.0,9,WICHITA FALLS ISD 243905
MCNUTT EL 220901165,755.0,36.0,61.0,,,,35.0,,,,,,,,11,ARLINGTON ISD 220901
MCQUEENEY EL 094901106,369.0,,,,,,12.0,,,,,,,,13,SEGUIN ISD 094901
MCRAE EL 220905143,649.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
MCREYNOLDS MIDDLE 101912062,645.0,198.0,712.0,,,21.0,189.0,13.0,,,10.0,,,50.0,4,HOUSTON ISD 101912
MCROBERTS EL 101914116,783.0,15.0,33.0,,,,,,,,,,,,4,KATY ISD 101914
MCSPEDDEN EL 043905138,723.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
MCWHORTER EL 057903129,673.0,30.0,61.0,,,,28.0,,,,,,,10.0,10,CARROLLTON-FARMERS BRANCH ISD 057903
MCWHORTER EL 057914106,933.0,59.0,125.0,,,,59.0,,,,,,,,10,MESQUITE ISD 057914
MCWHORTER EL 152901169,627.0,17.0,27.0,,,,17.0,,,,,,,,17,LUBBOCK ISD 152901
MEACHAM MIDDLE 220905051,835.0,179.0,571.0,,,13.0,118.0,,,,,,,125.0,11,FORT WORTH ISD 220905
MEAD EL 015915185,881.0,17.0,32.0,,,,16.0,,,,,,,,20,NORTHSIDE ISD 015915
MEADOR ELEMENTARY 101917111,649.0,,,,,,,,,,,,,,4,PASADENA ISD 101917
MEADOW CREEK EL 220916122,821.0,33.0,48.0,,,,33.0,,,,,,,,11,HURST-EULESS-BEDFORD ISD 220916
MEADOW SCHOOL 223902001,300.0,13.0,16.0,,,,12.0,,,,,,,,17,MEADOW ISD 223902
MEADOW VILLAGE EL 015915117,590.0,27.0,68.0,,,,26.0,,,,,,,,20,NORTHSIDE ISD 015915
MEADOW WOOD EL 101920108,529.0,,,,,,,,,,,,,,4,SPRING BRANCH ISD 101920
MEADOWBROOK EL 178904123,482.0,11.0,21.0,,,,,,,,,,,,2,CORPUS CHRISTI ISD 178904
MEADOWBROOK EL 220905141,701.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
MEADOWBROOK MIDDLE 220905052,863.0,252.0,758.0,,,27.0,96.0,14.0,,,13.0,,,231.0,11,FORT WORTH ISD 220905
MEADOWCREEK EL 220912104,644.0,61.0,200.0,,,,57.0,,,,,,,17.0,11,CROWLEY ISD 220912
MEADOWS EL 014906108,1038.0,40.0,65.0,,,,32.0,,,,,,,14.0,12,KILLEEN ISD 014906
MEADOWS EL 043910102,504.0,16.0,34.0,,,,14.0,,,,,,,,10,PLANO ISD 043910
MEADOWS EL 079907110,459.0,23.0,37.0,,,,22.0,,,,,,,,4,FORT BEND ISD 079907
MEDINA SCHOOL 010901001,372.0,80.0,183.0,,,,69.0,,,,,,,22.0,20,MEDINA ISD 010901
MEDINA VALLEY H S 163908001,1551.0,338.0,949.0,,,58.0,291.0,,,,,,,115.0,20,MEDINA VALLEY ISD 163908
MEDINA VALLEY MIDDLE 163908042,1319.0,238.0,474.0,,,31.0,204.0,,,,,,,70.0,20,MEDINA VALLEY ISD 163908
MEDIO CREEK EL 015912111,667.0,12.0,21.0,,,,11.0,,,,,,,,20,SOUTHWEST ISD 015912
MEDLIN MIDDLE 061911042,1143.0,103.0,251.0,,,,100.0,,,,,,,24.0,11,NORTHWEST ISD 061911
MEDLOCK YOUTH VILLAGE 057814003,229.0,,,,,,,,,,,,,,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814
MELBA PASSMORE EL 020901108,737.0,10.0,12.0,,,,10.0,,,,,,,,4,ALVIN ISD 020901
MELILLO MIDDLE 101917140,743.0,162.0,334.0,,,,159.0,,,,,,,,4,PASADENA ISD 101917
MELISSA H S 043908001,867.0,65.0,142.0,,,,55.0,,,,,,,,10,MELISSA ISD 043908
MELISSA MIDDLE 043908101,713.0,63.0,110.0,,,,56.0,,,,,,,19.0,10,MELISSA ISD 043908
MELISSA RIDGE INTERMED 043908105,498.0,,,,,,,,,,,,,,10,MELISSA ISD 043908
MEMORIAL DRIVE EL 101920109,456.0,,,,,,,,,,,,,,4,SPRING BRANCH ISD 101920
MEMORIAL EARLY COLLEGE H S WITH ST 046902007,320.0,24.0,47.0,,,,23.0,,,,,,,10.0,20,COMAL ISD 046902
MEMORIAL EL 043910105,539.0,,,,,,,,,,,,,,10,PLANO ISD 043910
MEMORIAL EL 046901108,393.0,35.0,66.0,,,,33.0,,,,,,,,13,NEW BRAUNFELS ISD 046901
MEMORIAL EL 101912204,378.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
MEMORIAL EL 108913111,967.0,,,,,,,,,,,,,,1,WESLACO ISD 108913
MEMORIAL H S 015905003,1451.0,220.0,528.0,,,25.0,209.0,,,,,,,106.0,20,EDGEWOOD ISD 015905
MEMORIAL H S 101920001,2735.0,207.0,425.0,,,30.0,184.0,,,,,,,51.0,4,SPRING BRANCH ISD 101920
MEMORIAL H S 108906002,2376.0,280.0,599.0,,,63.0,189.0,23.0,,,52.0,,,151.0,1,MCALLEN ISD 108906
MEMORIAL H S 123907009,2191.0,659.0,2318.0,,,116.0,297.0,83.0,,,59.0,,,579.0,5,PORT ARTHUR ISD 123907
MEMORIAL INT 125901042,404.0,93.0,255.0,,,,86.0,,,,,,,39.0,2,ALICE ISD 125901
MEMORIAL J H 159901042,1162.0,218.0,615.0,,,14.0,154.0,,,,,,,135.0,20,EAGLE PASS ISD 159901
MEMORIAL MIDDLE 031903042,854.0,137.0,491.0,,,33.0,130.0,,,,,,,26.0,1,HARLINGEN CISD 031903
MEMORIAL MIDDLE 101920042,1374.0,104.0,151.0,,,,100.0,,,,,,,,4,SPRING BRANCH ISD 101920
MEMORIAL MIDDLE 108904045,1303.0,474.0,2439.0,,,38.0,441.0,18.0,,,28.0,,,194.0,1,EDINBURG CISD 108904
MEMORIAL MIDDLE 108912044,799.0,165.0,453.0,,,,153.0,,,,,,,59.0,1,LA JOYA ISD 108912
MEMORIAL MIDDLE 137901042,446.0,143.0,407.0,,,16.0,108.0,,,,,,,83.0,2,KINGSVILLE ISD 137901
MEMORIAL MIDDLE 240901044,790.0,151.0,322.0,,,11.0,149.0,,,,,,,,1,LAREDO ISD 240901
MEMORIAL MIDDLE 250907041,483.0,68.0,127.0,,,,66.0,,,,,,,,7,WINNSBORO ISD 250907
MEMORIAL PARKWAY EL 101914104,902.0,24.0,35.0,,,,23.0,,,,,,,,4,KATY ISD 101914
MEMORIAL PARKWAY J H 101914044,831.0,88.0,166.0,,,,86.0,,,,,,,,4,KATY ISD 101914
MEMORIAL PATHWAY ACADEMY H S 057909006,535.0,25.0,55.0,,,,13.0,,,,,,,17.0,10,GARLAND ISD 057909
MEMPHIS H S 096904001,153.0,52.0,114.0,,,,51.0,,,,,,,,16,MEMPHIS ISD 096904
MEMPHIS MIDDLE 096904041,107.0,,,,,,,,,,,,,,16,MEMPHIS ISD 096904
MENARD EL 164901101,159.0,,,,,,,,,,,,,,15,MENARD ISD 164901
MENARD H S 164901001,94.0,,10.0,,,,,,,,,,,,15,MENARD ISD 164901
MENARD J H 164901041,83.0,,,,,,,,,,,,,,15,MENARD ISD 164901
MENCHACA EL 227901147,775.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
MENDEL EL 101902109,267.0,,,,,,,,,,,,,,4,ALDINE ISD 101902
MENDENHALL EL 043910103,656.0,31.0,67.0,,,,23.0,,,,,,,13.0,10,PLANO ISD 043910
MENDEZ EL 105902108,662.0,,16.0,,,,,,,,,,,,13,SAN MARCOS CISD 105902
MENDEZ M S 227901058,703.0,222.0,913.0,,,38.0,158.0,,,,,,,158.0,13,AUSTIN ISD 227901
MENGER EL 178904124,362.0,,,,,,,,,,,,,,2,CORPUS CHRISTI ISD 178904
MERCEDES ACADEMIC ACADEMY 108907002,104.0,,17.0,,,,,,,,,,,,1,MERCEDES ISD 108907
MERCEDES EARLY COLLEGE ACADEMY 108907006,414.0,,10.0,,,,,,,,,,,,1,MERCEDES ISD 108907
MERCEDES H S 108907001,1143.0,237.0,733.0,,,57.0,217.0,31.0,,,41.0,,,71.0,1,MERCEDES ISD 108907
MERCER & BLUMBERG LRN CTR 094901002,138.0,,,,,,,,,,,,,,13,SEGUIN ISD 094901
MERIDIAN EL 018902101,254.0,16.0,25.0,,,,16.0,,,,,,,,12,MERIDIAN ISD 018902
MERIDIAN H S 018902001,274.0,40.0,87.0,,,,35.0,,,,,,,,12,MERIDIAN ISD 018902
MERIDIAN WORLD SCHOOL LLC 246801001,1655.0,32.0,38.0,,,,,,,,,,,31.0,13,MERIDIAN WORLD SCHOOL LLC 246801
MERIDIANA EL 020901116,776.0,17.0,29.0,,,,,,,,,,,11.0,4,ALVIN ISD 020901
MERIDITH-DUNBAR EARLY CHILDHOOD AC 014909101,591.0,,,,,,,,,,,,,,12,TEMPLE ISD 014909
MERKEL EL 221904102,647.0,49.0,111.0,,,,48.0,,,,,,,,14,MERKEL ISD 221904
MERKEL H S 221904001,343.0,72.0,181.0,,,17.0,65.0,,,,,,,27.0,14,MERKEL ISD 221904
MERKEL MIDDLE 221904041,323.0,51.0,115.0,,,,44.0,,,,,,,,14,MERKEL ISD 221904
MERRIFIELD EL 057907103,583.0,25.0,36.0,,,,,,,,,,,21.0,10,DUNCANVILLE ISD 057907
MERRIMAN PARK EL 057916134,617.0,19.0,29.0,,,,16.0,,,,,,,,10,RICHARDSON ISD 057916
MESA VERDE EL 188901134,536.0,20.0,47.0,,,,19.0,,,,,,,,16,AMARILLO ISD 188901
MESA VISTA EL 071905121,467.0,,,,,,,,,,,,,,19,YSLETA ISD 071905
MESITA EL 071902130,1156.0,26.0,36.0,,,,22.0,,,,,,,,19,EL PASO ISD 071902
MESQUITE ACADEMY 057914656,381.0,36.0,64.0,,,,,,,,,,,34.0,10,MESQUITE ISD 057914
MESQUITE H S 057914001,2986.0,753.0,1840.0,,,70.0,724.0,14.0,,,61.0,,,153.0,10,MESQUITE ISD 057914
METCALF EL 101907127,934.0,36.0,75.0,,,,28.0,,,,,,,11.0,4,CYPRESS-FAIRBANKS ISD 101907
METHODIST CHILDREN'S HOME 227806025,158.0,31.0,48.0,,,,15.0,,,,,,,23.0,13,UNIVERSITY OF TEXAS UNIVERSITY CHA 227806
METRO OPPORTUNITY 220905019,,13.0,21.0,,,,,,,,,,,10.0,11,FORT WORTH ISD 220905
METROPLEX SCHOOL 014906022,192.0,,,,,,,,,,,,,,12,KILLEEN ISD 014906
METZ EL 227901124,306.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
METZLER EL 101915123,927.0,15.0,32.0,,,,10.0,,,,,,,10.0,4,KLEIN ISD 101915
MEXIA H S 147903002,543.0,91.0,204.0,,,,84.0,,,,,,,33.0,12,MEXIA ISD 147903
MEXIA J H 147903042,426.0,131.0,320.0,,,,124.0,,,,,,,54.0,12,MEXIA ISD 147903
MEYER EL 079901112,831.0,37.0,79.0,,,,36.0,,,,,,,,4,LAMAR CISD 079901
MEYER EL 101919106,895.0,44.0,92.0,,,,25.0,,,,,,,31.0,4,SPRING ISD 101919
MEYER EL 163904102,516.0,17.0,23.0,,,,17.0,,,,,,,,20,HONDO ISD 163904
MEYERLAND MIDDLE 101912055,1662.0,195.0,607.0,,,16.0,162.0,,,,,,,104.0,4,HOUSTON ISD 101912
MEYERPARK EL 101855101,268.0,28.0,41.0,,,,10.0,,,,,,,21.0,4,MEYERPARK ELEMENTARY 101855
MEYERSVILLE EL 062906101,141.0,,,,,,,,,,,,,,3,MEYERSVILLE ISD 062906
MG ELLIS 220905224,415.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
MH SPECHT EL 046902111,797.0,33.0,49.0,,,,33.0,,,,,,,,20,COMAL ISD 046902
MIAMI SCHOOL 197902001,235.0,20.0,25.0,,,,13.0,,,,,,,10.0,16,MIAMI ISD 197902
MICHAEL E FOSSUM MIDDLE 108906048,832.0,87.0,205.0,,,,85.0,,,,,,,13.0,1,MCALLEN ISD 108906
MICHAEL EL 015915162,812.0,53.0,120.0,,,,51.0,,,,,,,,20,NORTHSIDE ISD 015915
MICHAEL R NULL MIDDLE 101924043,1115.0,247.0,693.0,,,13.0,242.0,,,,,,,65.0,4,SHELDON ISD 101924
MICKEY LELAND COLLEGE PREP ACAD FO 101912458,489.0,53.0,64.0,,,,13.0,,,,,,,42.0,4,HOUSTON ISD 101912
MIDDLE COLLEGE H S AT HCC FRAGA 101912485,133.0,,10.0,,,,,,,,,,,,4,HOUSTON ISD 101912
MIDDLE COLLEGE H S AT HCC GULFTON 101912484,181.0,10.0,12.0,,,,,,,,,,,,4,HOUSTON ISD 101912
MIDDLE LVL LRN CTR 220905018,,182.0,448.0,,,10.0,100.0,,,,,,,149.0,11,FORT WORTH ISD 220905
MIDLAND ACADEMY CHARTER SCHOOL 165802101,424.0,,,,,,,,,,,,,,18,MIDLAND ACADEMY CHARTER SCHOOL 165802
MIDLAND ALTERNATIVE PROGRAM 165901030,,36.0,123.0,21.0,,,,,24.0,,,,,29.0,18,MIDLAND ISD 165901
MIDLAND FRESHMAN H S 165901044,908.0,189.0,681.0,,,50.0,169.0,42.0,,,32.0,,,112.0,18,MIDLAND ISD 165901
MIDLAND H S 165901003,2518.0,265.0,613.0,,,80.0,184.0,53.0,,,54.0,,,151.0,18,MIDLAND ISD 165901
MIDLOTHIAN H S 070908001,1857.0,225.0,427.0,,,49.0,202.0,30.0,,,,,,35.0,10,MIDLOTHIAN ISD 070908
MIDLOTHIAN HERITAGE H S 070908003,941.0,37.0,47.0,,,,31.0,,,,,,,,10,MIDLOTHIAN ISD 070908
MIDVALLEY ACADEMY-MCALLEN CHARTER 108804002,175.0,,,,,,,,,,,,,,1,MIDVALLEY ACADEMY CHARTER DISTRICT 108804
MIDVALLEY ACADEMY-MERCEDES CHARTER 108804001,203.0,,,,,,,,,,,,,,1,MIDVALLEY ACADEMY CHARTER DISTRICT 108804
MIDVALLEY ACADEMY-SAN BENITO CHART 108804003,229.0,,,,,,,,,,,,,,1,MIDVALLEY ACADEMY CHARTER DISTRICT 108804
MIDWAY ALTERNATIVE H S 191901004,96.0,13.0,21.0,,,,,,,,,,,10.0,16,CANYON ISD 191901
MIDWAY H S 161903001,2564.0,290.0,842.0,,,83.0,248.0,37.0,,,59.0,,,114.0,12,MIDWAY ISD 161903
MIDWAY MIDDLE 161903041,1260.0,205.0,716.0,,,24.0,198.0,12.0,,,15.0,,,30.0,12,MIDWAY ISD 161903
MIDWAY PARK EL 220916114,871.0,22.0,46.0,,,,,,,,,,,,11,HURST-EULESS-BEDFORD ISD 220916
MIDWAY SCHOOL 039905001,154.0,,,,,,,,,,,,,,9,MIDWAY ISD 039905
MIGUEL CARRILLO JR EL 015908112,533.0,41.0,83.0,,,,34.0,,,,,,,20.0,20,SOUTH SAN ANTONIO ISD 015908
MIKE MOSELEY EL 057910130,656.0,,,,,,,,,,,,,,10,GRAND PRAIRIE ISD 057910
MIKE MOSES MIDDLE 174904042,706.0,195.0,740.0,,,22.0,169.0,,,,,,,102.0,7,NACOGDOCHES ISD 174904
MILAM EL 071902131,978.0,,,,,,,,,,,,,,19,EL PASO ISD 071902
MILAM EL 108906111,971.0,34.0,71.0,,,,33.0,,,,,,,,1,MCALLEN ISD 108906
MILAM EL 165901113,478.0,53.0,149.0,,,17.0,33.0,31.0,,,,,,37.0,18,MIDLAND ISD 165901
MILAM EL 170902105,837.0,21.0,24.0,,,,19.0,,,,,,,,6,CONROE ISD 170902
MILAM EL 243905121,536.0,27.0,66.0,,,,26.0,,,,,,,,9,WICHITA FALLS ISD 243905
MILANO EL 166903102,186.0,,11.0,,,,,,,,,,,,6,MILANO ISD 166903
MILANO H S 166903001,186.0,34.0,51.0,,,,32.0,,,,,,,,6,MILANO ISD 166903
MILANO J H 166903041,110.0,,47.0,,,,,,,,,,,,6,MILANO ISD 166903
MILBY H S 101912011,1796.0,599.0,1628.0,,,79.0,541.0,34.0,,,61.0,,,203.0,4,HOUSTON ISD 101912
MILDRED EL 175910101,338.0,34.0,55.0,,,,34.0,,,,,,,,12,MILDRED ISD 175910
MILDRED H S 175910001,450.0,110.0,334.0,,,,109.0,,,,,,,,12,MILDRED ISD 175910
MILDRED JENKINS EL 101919107,771.0,48.0,91.0,,,,37.0,,,,,,,17.0,4,SPRING ISD 101919
MILES EL 200902101,270.0,,,,,,,,,,,,,,15,MILES ISD 200902
MILES H S 200902001,195.0,16.0,25.0,,,,,,,,,,,,15,MILES ISD 200902
MILFORD SCHOOL 070909001,292.0,23.0,37.0,,,,21.0,,,,,,,,10,MILFORD ISD 070909
MILLER EL 043905141,691.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
MILLER EL 043910131,419.0,,,,,,,,,,,,,,10,PLANO ISD 043910
MILLER EL 152901195,727.0,27.0,50.0,,,,27.0,,,,,,,,17,LUBBOCK ISD 152901
MILLER EL 220901135,693.0,66.0,173.0,,,,64.0,,,,,,,12.0,11,ARLINGTON ISD 220901
MILLER GROVE SCHOOL 112907001,354.0,,13.0,,,,,,,,,,,,8,MILLER GROVE ISD 112907
MILLER HEIGHTS EL 014903103,374.0,41.0,92.0,,,,41.0,,,,,,,,12,BELTON ISD 014903
MILLER INT 101903144,1033.0,102.0,225.0,,,,88.0,,,,,,,45.0,4,ALIEF ISD 101903
MILLER INT 101917048,849.0,194.0,484.0,,,13.0,185.0,,,,,,,49.0,4,PASADENA ISD 101917
MILLER JORDAN MIDDLE 031912042,888.0,187.0,492.0,,,54.0,172.0,56.0,,,12.0,,,16.0,1,SAN BENITO CISD 031912
MILLER MIDDLE 105902043,836.0,199.0,709.0,,,33.0,185.0,23.0,,,22.0,,,79.0,13,SAN MARCOS CISD 105902
MILLER POINT EL 015916111,643.0,,,,,,,,,,,,,,20,JUDSON ISD 015916
MILLS EL 227901181,878.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
MILLSAP EL 101907110,891.0,38.0,97.0,,,,38.0,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907
MILLSAP EL 184904101,546.0,34.0,55.0,,,,34.0,,,,,,,,11,MILLSAP ISD 184904
MILLSAP H S 184904001,325.0,40.0,56.0,,,,36.0,,,,,,,,11,MILLSAP ISD 184904
MILLSAP MIDDLE 184904041,221.0,28.0,34.0,,,,26.0,,,,,,,,11,MILLSAP ISD 184904
MILNE EL 101912299,651.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
MILTON B LEE ACADEMY OF SCIENCE & 015806003,139.0,,,,,,,,,,,,,,20,SCHOOL OF EXCELLENCE IN EDUCATION 015806
MILTON COOPER EL 101919120,860.0,27.0,53.0,,,,26.0,,,,,,,,4,SPRING ISD 101919
MILTON EL 240901110,931.0,,,,,,,,,,,,,,1,LAREDO ISD 240901
MIMI FARLEY EL 180901101,58.0,,20.0,,,,,,,,,,,,16,BOYS RANCH ISD 180901
MIMS EL 108908110,654.0,21.0,39.0,,,,15.0,,,,,,,,1,MISSION CISD 108908
MINA EL 011901102,678.0,29.0,61.0,,,,29.0,,,,,,,,13,BASTROP ISD 011901
MINEOLA EL 250903102,398.0,18.0,28.0,,,,,,,,,,,13.0,7,MINEOLA ISD 250903
MINEOLA H S 250903001,502.0,106.0,239.0,,,13.0,95.0,,,,,,,,7,MINEOLA ISD 250903
MINEOLA MIDDLE 250903041,392.0,79.0,172.0,,,14.0,,,,,,,,,7,MINEOLA ISD 250903
MINEOLA PRI 250903101,473.0,,,,,,,,,,,,,,7,MINEOLA ISD 250903
MINERAL WELLS ACADEMY 182903002,74.0,,,,,,,,,,,,,,11,MINERAL WELLS ISD 182903
MINERAL WELLS H S 182903001,901.0,161.0,449.0,,,43.0,136.0,14.0,,,33.0,,,58.0,11,MINERAL WELLS ISD 182903
MINERAL WELLS J H 182903041,486.0,102.0,387.0,,,21.0,98.0,,,,,,,29.0,11,MINERAL WELLS ISD 182903
MIRELES EL 015915195,1023.0,15.0,42.0,,,,14.0,,,,,,,,20,NORTHSIDE ISD 015915
MIRELES EL 178904149,694.0,17.0,21.0,,,,16.0,,,,,,,,2,CORPUS CHRISTI ISD 178904
MISS MAY VERNON EL 199902106,682.0,24.0,46.0,,,,24.0,,,,,,,,10,ROYSE CITY ISD 199902
MISSION ACADEMY 015907210,638.0,22.0,39.0,,,,,,,,,,,22.0,20,SAN ANTONIO ISD 015907
MISSION BEND EL 079907118,618.0,21.0,58.0,,,,16.0,,,,,,,11.0,4,FORT BEND ISD 079907
MISSION COLLEGIATE H S 108908004,417.0,13.0,26.0,,,,,,,,,,,13.0,1,MISSION CISD 108908
MISSION EARLY COLLEGE H S 071909007,469.0,10.0,19.0,,,,,,,,,,,,19,SOCORRO ISD 071909
MISSION EARLY LEARNING 108908121,462.0,,,,,,,,,,,,,,1,MISSION CISD 108908
MISSION GLEN EL 079907124,532.0,14.0,27.0,,,,,,,,,,,14.0,4,FORT BEND ISD 079907
MISSION H S 108908001,2399.0,392.0,1062.0,,,104.0,204.0,36.0,,,87.0,,,295.0,1,MISSION CISD 108908
MISSION J H 108908041,864.0,158.0,582.0,,,15.0,142.0,,,,,,,82.0,1,MISSION CISD 108908
MISSION RIDGE 071909130,878.0,15.0,26.0,,,,,,,,,,,13.0,19,SOCORRO ISD 071909
MISSION VALLEY EL 071905135,499.0,14.0,25.0,,,,,,,,,,,10.0,19,YSLETA ISD 071905
MISSION VALLEY EL 235902117,272.0,,,,,,,,,,,,,,3,VICTORIA ISD 235902
MISSION WEST EL 079907129,693.0,15.0,30.0,,,,,,,,,,,11.0,4,FORT BEND ISD 079907
MISSOURI CITY MIDDLE 079907042,1089.0,255.0,504.0,,,23.0,166.0,,,,,,,167.0,4,FORT BEND ISD 079907
MISTRAL CENTER FOR EARLY CHILDHOOD 101912354,364.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
MITCHELL BOULEVARD EL 220905144,442.0,24.0,39.0,,,,,,,,,,,24.0,11,FORT WORTH ISD 220905
MITCHELL EL 021902119,411.0,13.0,23.0,,,,10.0,,,,,,,,6,BRYAN ISD 021902
MITCHELL EL 043910126,871.0,16.0,23.0,,,,,,,,,,,13.0,10,PLANO ISD 043910
MITCHELL EL 101912264,440.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
MITCHELL GUIDANCE CENTER 235902004,,87.0,317.0,,,18.0,,,,,,,,77.0,3,VICTORIA ISD 235902
MITCHELL GUIDANCE CENTER MIDDLE 235902045,,104.0,450.0,11.0,,26.0,,,,,,,,91.0,3,VICTORIA ISD 235902
MITCHELL INT 170902067,1290.0,25.0,38.0,,,,25.0,,,,,,,,6,CONROE ISD 170902
MITTELSTADT EL 101915116,983.0,105.0,257.0,,,,102.0,,,,,,,26.0,4,KLEIN ISD 101915
MITZI BOND EL 071902160,658.0,16.0,25.0,,,,,,,,,,,13.0,19,EL PASO ISD 071902
MOCKINGBIRD EL 057922105,531.0,,,,,,,,,,,,,,10,COPPELL ISD 057922
MOHAWK EL 057916108,454.0,,,,,,,,,,,,,,10,RICHARDSON ISD 057916
MOISES E MOLINA H S 057905005,2322.0,82.0,92.0,,,23.0,,,,,,,,60.0,10,DALLAS ISD 057905
MOISES VELA MIDDLE 031903045,903.0,137.0,385.0,,,27.0,125.0,19.0,,,13.0,,,40.0,1,HARLINGEN CISD 031903
MONAHANS ED CTR 238902002,43.0,,,,,,,,,,,,,,18,MONAHANS-WICKETT-PYOTE ISD 238902
MONAHANS H S 238902001,639.0,106.0,300.0,,,12.0,101.0,,,,,,,21.0,18,MONAHANS-WICKETT-PYOTE ISD 238902
MONDAY EL 129903103,567.0,23.0,39.0,,,,22.0,,,,,,,,10,KAUFMAN ISD 129903
MONNIE MEYER WYLIE PRI 201902107,427.0,,,,,,,,,,,,,,7,HENDERSON ISD 201902
MONNIG MIDDLE 220905053,729.0,219.0,579.0,,,26.0,191.0,,,,,,,99.0,11,FORT WORTH ISD 220905
MONTA JANE AKIN EL 246913126,810.0,,17.0,,,,,,,,,,,,13,LEANDER ISD 246913
MONTAGUE EL 169908101,181.0,,,,,,,,,,,,,,9,MONTAGUE ISD 169908
MONTAGUE VILLAGE EL 014906128,733.0,60.0,137.0,,,,56.0,,,,,,,15.0,12,KILLEEN ISD 014906
MONTANA VISTA EL 071901104,728.0,15.0,15.0,,,,15.0,,,,,,,,19,CLINT ISD 071901
MONTCLAIR EL 057909121,640.0,13.0,25.0,,,,12.0,,,,,,,,10,GARLAND ISD 057909
MONTCLAIR EL 178904125,356.0,,,,,,,,,,,,,,2,CORPUS CHRISTI ISD 178904
MONTE ALTO EL 108915101,573.0,39.0,53.0,,,,38.0,,,,,,,,1,MONTE ALTO ISD 108915
MONTE ALTO H S 108915001,294.0,63.0,175.0,,,19.0,53.0,,,,,,,,1,MONTE ALTO ISD 108915
MONTE CRISTO EL 108904115,746.0,12.0,13.0,,,,,,,,,,,12.0,1,EDINBURG CISD 108904
MONTEREY H S 152901023,2249.0,425.0,867.0,,,94.0,357.0,38.0,,,65.0,,,100.0,17,LUBBOCK ISD 152901
MONTGOMERY CO J J A E P 170903003,,11.0,11.0,11.0,11.0,,,,11.0,11.0,,,,,6,MONTGOMERY ISD 170903
MONTGOMERY EL 015910122,627.0,96.0,285.0,,,,94.0,,,,,,,13.0,20,NORTH EAST ISD 015910
MONTGOMERY EL 101912207,634.0,10.0,14.0,,,,,,,,,,,10.0,4,HOUSTON ISD 101912
