CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER,DisciplinePopPct,DisciplineRecordCtPct,ExpelledPct,JJAEP_Pct,DAEP_Pct,ISS_Pct,Discr_DAEP_Pct,Discr_Expul_Pct,Discr_Expul_JJAEP_Pct,Mand_DAEP_Pct,Mand_Expul_Pct,Mand_Expul_JJAEP_Pct,Suspension_Pct,DisciplinePopPct_Rank,DisciplineRecordCtPct_Rank,ExpelledPct_Rank,JJAEP_Pct_Rank,DAEP_Pct_Rank,ISS_Pct_Rank,Discr_DAEP_Pct_Rank,Discr_Expul_Pct_Rank,Discr_Expul_JJAEP_Pct_Rank,Mand_DAEP_Pct_Rank,Mand_Expul_Pct_Rank,Mand_Expul_JJAEP_Pct_Rank,Suspension_Pct_Rank
LIBERTY-EYLAU EARLY CHILDHOOD CENT 019908102,464.0,,,,,,,,,,,,,,8,LIBERTY-EYLAU ISD 019908,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY-EYLAU EL 019908103,741.0,185.0,529.0,,,,183.0,,,,,,,13.0,8,LIBERTY-EYLAU ISD 019908,0.2496626180836707,0.7139001349527665,,,,0.24696356275303644,,,,,,,0.017543859649122806,0.09440621139932945,0.09516154959009805,,,,0.07679771847626808,,,,,,,0.8984032561051972
LIBERTY-EYLAU H S 019908001,763.0,197.0,474.0,,,42.0,184.0,,,,,,,24.0,8,LIBERTY-EYLAU ISD 019908,0.2581913499344692,0.6212319790301442,,,0.05504587155963303,0.24115334207077327,,,,,,,0.03145478374836173,0.08399505911416975,0.1228098376466806,,,0.12093862815884476,0.08209411285394173,,,,,,,0.6966186599874765
LIBERTY-EYLAU MIDDLE 019908041,815.0,188.0,638.0,,,,181.0,,,,,,,50.0,8,LIBERTY-EYLAU ISD 019908,0.23067484662576687,0.7828220858895706,,,,0.22208588957055214,,,,,,,0.06134969325153374,0.12193400388212458,0.07619353801639608,,,,0.10694642493379507,,,,,,,0.39370695053224797
LIDA HOOE EL 057905158,431.0,,,,,,,,,,,,,,10,DALLAS ISD 057905,,,,,,,,,,,,,,,,,,,,,,,,,,
LIECK EL 015915225,800.0,35.0,78.0,,,,35.0,,,,,,,,20,NORTHSIDE ISD 015915,0.04375,0.0975,,,,0.04375,,,,,,,,0.7446620787012529,0.6353480147886192,,,,0.7394581381136688,,,,,,,
LIEDER EL 101907111,979.0,45.0,109.0,,,,45.0,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907,0.045965270684371805,0.11133810010214505,,,,0.045965270684371805,,,,,,,,0.7284277395447326,0.5962063976852596,,,,0.7225504176003259,,,,,,,
LIESTMAN EL 101903109,888.0,28.0,74.0,,,,27.0,,,,,,,,4,ALIEF ISD 101903,0.03153153153153153,0.08333333333333333,,,,0.030405405405405407,,,,,,,,0.8374801482265749,0.6740877672399935,,,,0.8433489509064983,,,,,,,
LIFE H S WAXAHACHIE 057807002,977.0,211.0,373.0,,,,198.0,,,,,,,39.0,10,LIFE SCHOOL 057807,0.21596724667349027,0.38178096212896623,,,,0.20266120777891505,,,,,,,0.03991811668372569,0.1475207340744662,0.24304774152065584,,,,0.13933591362803016,,,,,,,0.5943957420162805
LIFE MIDDLE WAXAHACHIE 057807041,517.0,89.0,156.0,,,,56.0,,,,,,,49.0,10,LIFE SCHOOL 057807,0.172147001934236,0.30174081237911027,,,,0.10831721470019343,,,,,,,0.09477756286266925,0.24457384859714135,0.31200771580131814,,,,0.408433489509065,,,,,,,0.2147777082028804
LIFE SCHOOL CEDAR HILL 057807104,681.0,59.0,120.0,,,,52.0,,,,,,,14.0,10,LIFE SCHOOL 057807,0.08663729809104258,0.1762114537444934,,,,0.0763582966226138,,,,,,,0.020558002936857563,0.51738133050997,0.4688956759363446,,,,0.5514361377062538,,,,,,,0.8450219160926737
LIFE SCHOOL LANCASTER 057807102,651.0,32.0,44.0,,,,,,,,,,,32.0,10,LIFE SCHOOL 057807,0.04915514592933948,0.06758832565284179,,,,,,,,,,,0.04915514592933948,0.7049585318510676,0.7321973959170551,,,,,,,,,,,0.4968691296180338
LIFE SCHOOL MOUNTAIN CREEK 057807105,467.0,42.0,66.0,,,,28.0,,,,,,,23.0,10,LIFE SCHOOL 057807,0.08993576017130621,0.14132762312633834,,,,0.059957173447537475,,,,,,,0.04925053533190578,0.5044115052055761,0.5296576113165086,,,,0.6347524954165817,,,,,,,0.49592986850344395
LIFE SCHOOL OAK CLIFF 057807001,1569.0,315.0,641.0,,,,234.0,,,,,,,135.0,10,LIFE SCHOOL 057807,0.20076481835564053,0.40854047163798596,,,,0.1491395793499044,,,,,,,0.08604206500956023,0.17857773072172226,0.22600868027648288,,,,0.2707272356895498,,,,,,,0.2551659361302442
LIFE SCHOOL RED OAK 057807101,1086.0,32.0,61.0,,,,11.0,,,,,,,28.0,10,LIFE SCHOOL 057807,0.029465930018416207,0.056169429097605895,,,,0.010128913443830571,,,,,,,0.02578268876611418,0.8560084700899947,0.7764025076354284,,,,0.9971480953350988,,,,,,,0.7711333750782717
LIGARDE EL 240901124,787.0,,,,,,,,,,,,,,1,LAREDO ISD 240901,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT FARMS EL 043912105,1030.0,16.0,21.0,,,,16.0,,,,,,,,10,PROSPER ISD 043912,0.015533980582524271,0.020388349514563107,,,,0.015533980582524271,,,,,,,,0.9790012352214575,0.9631891978781546,,,,0.973110613159503,,,,,,,
LIGHTHOUSE CHARTER SCHOOL - B CAMP 015825001,268.0,,11.0,,,,,,,,,,,,20,LIGHTHOUSE CHARTER SCHOOL 015825,,0.041044776119402986,,,,,,,,,,,,,0.8447194984729143,,,,,,,,,,,
LIGHTHOUSE CHARTER SCHOOL 015825101,99.0,,,,,,,,,,,,,,20,LIGHTHOUSE CHARTER SCHOOL 015825,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHTHOUSE LEARNING CENTER - DAEP 020905004,,112.0,210.0,,,61.0,27.0,29.0,,,36.0,,,61.0,4,BRAZOSPORT ISD 020905,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLIAN EL 126901103,417.0,,17.0,,,,,,,,,,,,11,ALVARADO ISD 126901,,0.0407673860911271,,,,,,,,,,,,,0.846005465359267,,,,,,,,,,,
LILLIE J JACKSON EARLY CHILDHOOD C 061902141,788.0,,,,,,,,,,,,,,11,LEWISVILLE ISD 061902,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLION E LUEHRS J H 178902041,376.0,93.0,248.0,,,,85.0,,,,,,,26.0,2,BISHOP CISD 178902,0.2473404255319149,0.6595744680851063,,,,0.22606382978723405,,,,,,,0.06914893617021277,0.09811187577201341,0.10962867706156566,,,,0.10063149317579956,,,,,,,0.347683155917345
LILY B CLAYTON EL 220905116,566.0,,11.0,,,,,,,,,,,,11,FORT WORTH ISD 220905,,0.019434628975265017,,,,,,,,,,,,,0.9690564217971387,,,,,,,,,,,
LIMESTONE COUNTY JUVENILE DETENTIO 147902003,52.0,,,,,,,,,,,,,,12,GROESBECK ISD 147902,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN EL 108904108,555.0,28.0,49.0,,,,,,,,,,,27.0,1,EDINBURG CISD 108904,0.05045045045045045,0.08828828828828829,,,,,,,,,,,0.04864864864864865,0.6959590612316923,0.6614692171676579,,,,,,,,,,,0.5018785222291797
LINCOLN HUMANITIES/COMMUNICATIONS 057905009,649.0,153.0,279.0,,,34.0,,16.0,,,21.0,,,134.0,10,DALLAS ISD 057905,0.2357473035439137,0.42989214175654855,,,0.05238828967642527,,0.02465331278890601,,,0.032357473035439135,,,0.20647149460708783,0.11452267513675667,0.21041633177945668,,,0.14199759326113118,,0.3701863354037267,,,0.15789473684210525,,,0.03036944270507201
LINCOLN J H 204901041,390.0,127.0,489.0,,,,126.0,,,,11.0,,,,6,COLDSPRING-OAKHURST CISD 204901,0.32564102564102565,1.2538461538461538,,,,0.3230769230769231,,,,0.028205128205128206,,,,0.03229221810481736,0.020896961903230992,,,,0.022815237319209616,,,,0.23346828609986506,,,
LINCOLN MIDDLE 071902051,850.0,166.0,455.0,,,23.0,119.0,13.0,,,14.0,,,100.0,19,EL PASO ISD 071902,0.1952941176470588,0.5352941176470588,,,0.027058823529411764,0.14,0.015294117647058824,,,0.01647058823529412,,,0.11764705882352941,0.19057702488088937,0.15672721427423245,,,0.5150421179302046,0.29720920757791813,0.6149068322981367,,,0.611336032388664,,,0.14699436443331246
LINCOLN MIDDLE 108906043,573.0,144.0,377.0,,,19.0,122.0,,,,,,,68.0,1,MCALLEN ISD 108906,0.2513089005235602,0.6579406631762653,,,0.03315881326352531,0.21291448516579406,,,,,,,0.11867364746945899,0.09175930827598376,0.11043240636553608,,,0.4043321299638989,0.12202077816255856,,,,,,,0.1443331246086412
LINCOLN MIDDLE 123907043,665.0,232.0,915.0,,,41.0,54.0,45.0,,,10.0,,,226.0,5,PORT ARTHUR ISD 123907,0.34887218045112783,1.3759398496240602,,,0.061654135338345864,0.081203007518797,0.06766917293233082,,,0.015037593984962405,,,0.3398496240601504,0.023998588318334214,0.01414563574987944,,,0.08243080625752106,0.5284171929109799,0.05341614906832298,,,0.6983805668016194,,,0.005948653725735754
LINCOLN MIDDLE 226903045,948.0,192.0,613.0,,,29.0,185.0,12.0,,,20.0,,,11.0,15,SAN ANGELO ISD 226903,0.20253164556962025,0.6466244725738397,,,0.03059071729957806,0.19514767932489452,0.012658227848101266,,,0.02109704641350211,,,0.011603375527426161,0.17575436739015352,0.11396881530300594,,,0.44885679903730447,0.1540028519046649,0.7118012422360248,,,0.43859649122807015,,,0.9790231684408266
LINCOLN PARK SCH 031901127,174.0,,,,,,,,,,,,,,1,BROWNSVILLE ISD 031901,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDA HERRINGTON EL 246909138,1115.0,40.0,113.0,,,,39.0,,,,,,,10.0,13,ROUND ROCK ISD 246909,0.03587443946188341,0.10134529147982063,,,,0.03497757847533632,,,,,,,0.008968609865470852,0.8023645667901889,0.6240154316026363,,,,0.8030148706457527,,,,,,,0.9902943018159048
LINDA JOBE MIDDLE 220908046,980.0,161.0,476.0,,,20.0,149.0,,,,,,,71.0,11,MANSFIELD ISD 220908,0.16428571428571428,0.4857142857142857,,,0.02040816326530612,0.1520408163265306,,,,,,,0.07244897959183673,0.2636315510852303,0.17826715962063977,,,0.6787003610108303,0.26196781421878185,,,,,,,0.3290544771446462
LINDA LYON EL 199901115,483.0,,16.0,,,,,,,,,,,,10,ROCKWALL ISD 199901,,0.033126293995859216,,,,,,,,,,,,,0.8894068477736699,,,,,,,,,,,
LINDA TUTT H S 061908003,43.0,,,,,,,,,,,,,,11,SANGER ISD 061908,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDALE H S 212903001,1234.0,305.0,706.0,,,59.0,276.0,46.0,,,,,,51.0,7,LINDALE ISD 212903,0.24716369529983792,0.5721231766612642,,,0.04781199351701783,0.22366288492706646,0.03727714748784441,,,,,,0.041329011345218804,0.0984647961884595,0.1393666613084713,,,0.18531889290012032,0.10450193522102261,0.19751552795031055,,,,,,0.5795241077019412
LINDALE JUNIOR HIGH 212903041,659.0,121.0,236.0,,,,117.0,,,,,,,14.0,7,LINDALE ISD 212903,0.18361153262518967,0.3581183611532625,,,,0.17754172989377845,,,,,,,0.021244309559939303,0.21757543673901536,0.2600868027648288,,,,0.19800366673456915,,,,,,,0.8340638697557922
LINDEN EL 034905102,375.0,36.0,58.0,,,,36.0,,,,,,,,8,LINDEN-KILDARE CISD 034905,0.096,0.15466666666666667,,,,0.096,,,,,,,,0.478736544909123,0.505545732197396,,,,0.4600733346913832,,,,,,,
LINDEN-KILDARE H S 034905002,226.0,28.0,62.0,,,,25.0,,,,,,,,8,LINDEN-KILDARE CISD 034905,0.12389380530973451,0.2743362831858407,,,,0.11061946902654868,,,,,,,,0.3733898005999647,0.3412634624658415,,,,0.39875738439600733,,,,,,,
LINDER EL 227901160,338.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDSAY EL 049907101,270.0,,,,,,,,,,,,,,11,LINDSAY ISD 049907,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDSAY H S 049907001,246.0,,,,,,,,,,,,,,11,LINDSAY ISD 049907,,,,,,,,,,,,,,,,,,,,,,,,,,
LINGLEVILLE SCHOOL 072909001,290.0,,,,,,,,,,,,,,11,LINGLEVILLE ISD 072909,,,,,,,,,,,,,,,,,,,,,,,,,,
LINTON EL 015915131,590.0,82.0,209.0,,,,80.0,,,,,,,,20,NORTHSIDE ISD 015915,0.13898305084745763,0.35423728813559324,,,,0.13559322033898305,,,,,,,,0.33209811187577204,0.26410544928468094,,,,0.3120798533306172,,,,,,,
LIPAN EL 111902102,249.0,,,,,,,,,,,,,,11,LIPAN ISD 111902,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPAN H S 111902003,172.0,,,,,,,,,,,,,,11,LIPAN ISD 111902,,,,,,,,,,,,,,,,,,,,,,,,,,
LIT CYPR-MRCEVILLE H S 181908001,1050.0,252.0,711.0,,,32.0,238.0,26.0,,,,,,20.0,5,LITTLE CYPRESS-MAURICEVILLE CISD 181908,0.24,0.6771428571428572,,,0.030476190476190476,0.22666666666666666,0.024761904761904763,,,,,,0.01904761904761905,0.10825833774483853,0.10448480951615496,,,0.45126353790613716,0.0996129557954777,0.36645962732919257,,,,,,0.8741390106449592
LITTLE BAY PRI 004901102,370.0,,,,,,,,,,,,,,2,ARANSAS COUNTY ISD 004901,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE CYPRESS EL 181908101,615.0,42.0,141.0,,,,42.0,,,,,,,,5,LITTLE CYPRESS-MAURICEVILLE CISD 181908,0.06829268292682927,0.22926829268292684,,,,0.06829268292682927,,,,,,,,0.5964355037938944,0.3912554251728018,,,,0.5868812385414545,,,,,,,
LITTLE CYPRESS INT 181908103,318.0,34.0,76.0,,,,33.0,,,,,,,,5,LITTLE CYPRESS-MAURICEVILLE CISD 181908,0.1069182389937107,0.2389937106918239,,,,0.10377358490566038,,,,,,,,0.4339156520204694,0.37919948561324546,,,,0.4255449174984722,,,,,,,
LITTLE CYPRESS J H 181908041,489.0,82.0,250.0,,,11.0,79.0,,,,,,,,5,LITTLE CYPRESS-MAURICEVILLE CISD 181908,0.16768916155419222,0.5112474437627812,,,0.022494887525562373,0.16155419222903886,,,,,,,,0.25463208046585495,0.16814017039061244,,,0.6302647412755716,0.23538398859238133,,,,,,,
LITTLE EAGLES EARLY LEARNING CENTE 057906111,33.0,,,,,,,,,,,,,,10,DESOTO ISD 057906,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE EL 220901146,785.0,24.0,46.0,,,,20.0,,,,,,,,11,ARLINGTON ISD 220901,0.030573248407643312,0.05859872611464968,,,,0.025477707006369428,,,,,,,,0.8471854596788424,0.7662755184054011,,,,0.884294153595437,,,,,,,
LITTLE ELM H S 061914001,2231.0,243.0,540.0,,,66.0,214.0,20.0,,,49.0,,,45.0,11,LITTLE ELM ISD 061914,0.10891976692066338,0.24204392649036308,,,0.029583146571044376,0.09592111160914388,0.008964589870013447,,,0.021963245181532944,,,0.020170327207530255,0.4273866243162167,0.37630606011895196,,,0.4729241877256318,0.4605826033815441,0.8260869565217391,,,0.4048582995951417,,,0.8556668753913588
LITTLEFIELD EL 140904102,319.0,50.0,86.0,,,,50.0,,,,,,,,17,LITTLEFIELD ISD 140904,0.15673981191222572,0.26959247648902823,,,,0.15673981191222572,,,,,,,,0.28004235044997355,0.3468895675936345,,,,0.2499490731309839,,,,,,,
LITTLEFIELD H S 140904001,391.0,51.0,79.0,,,30.0,35.0,36.0,,,,,,,17,LITTLEFIELD ISD 140904,0.13043478260869565,0.2020460358056266,,,0.07672634271099744,0.08951406649616368,0.09207161125319693,,,,,,,0.3534497970707605,0.4291914483202058,,,0.031889290012033694,0.4891016500305561,0.02608695652173913,,,,,,
LITTLEFIELD J H 140904041,324.0,94.0,195.0,,,24.0,82.0,32.0,,,,,,,17,LITTLEFIELD ISD 140904,0.29012345679012347,0.6018518518518519,,,0.07407407407407407,0.25308641975308643,0.09876543209876543,,,,,,,0.05505558496559026,0.12940041793923807,,,0.03580024067388688,0.07027907924220819,0.01987577639751553,,,,,,
LITTLEFIELD PRI 140904103,417.0,,,,,,,,,,,,,,17,LITTLEFIELD ISD 140904,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVE OAK 1-3 LEARNING CENTER 004901103,832.0,47.0,95.0,,,,47.0,,,,,,,,2,ARANSAS COUNTY ISD 004901,0.056490384615384616,0.1141826923076923,,,,0.056490384615384616,,,,,,,,0.6587259572966296,0.5899373091142903,,,,0.6557343654512121,,,,,,,
LIVE OAK ACADEMY 105906004,283.0,,,,,,,,,,,,,,13,HAYS CISD 105906,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVE OAK EL 246909120,609.0,16.0,30.0,,,,16.0,,,,,,,,13,ROUND ROCK ISD 246909,0.026272577996715927,0.04926108374384237,,,,0.026272577996715927,,,,,,,,0.8800952885124405,0.8055778813695548,,,,0.8755347321246689,,,,,,,
LIVE OAK RIDGE MIDDLE 014906050,701.0,255.0,920.0,,,17.0,248.0,,,,,,,109.0,12,KILLEEN ISD 014906,0.3637660485021398,1.3124108416547788,,,0.024251069900142655,0.3537803138373752,,,,,,,0.15549215406562053,0.017822481030527616,0.0176820446873493,,,0.5806257521058965,0.01303727846811978,,,,,,,0.07889793362554791
LIVELY EL 057912112,857.0,19.0,50.0,,,,15.0,,,,,,,,10,IRVING ISD 057912,0.022170361726954493,0.058343057176196034,,,,0.01750291715285881,,,,,,,,0.9170637021351685,0.7677222311525478,,,,0.9551843552658382,,,,,,,
LIVINGSTON H S 187907002,1102.0,303.0,1058.0,,,46.0,287.0,35.0,,,12.0,,,94.0,6,LIVINGSTON ISD 187907,0.2749546279491833,0.9600725952813067,,,0.041742286751361164,0.2604355716878403,0.03176043557168784,,,0.010889292196007259,,,0.0852994555353902,0.07023116287277219,0.04613406204790227,,,0.259927797833935,0.06172336524750458,0.25838509316770186,,,0.8771929824561403,,,0.2582968065122104
LIVINGSTON H S ACADEMY 187907004,80.0,,,,,,,,,,,,,,6,LIVINGSTON ISD 187907,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON INT 187907101,713.0,121.0,245.0,,,,119.0,,,,,,,12.0,6,LIVINGSTON ISD 187907,0.1697054698457223,0.3436185133239832,,,,0.16690042075736325,,,,,,,0.016830294530154277,0.2507499558849479,0.273750200932326,,,,0.22183744143410064,,,,,,,0.9092047589229806
LIVINGSTON J H 187907041,1035.0,267.0,773.0,,,39.0,236.0,27.0,,,13.0,,,98.0,6,LIVINGSTON ISD 187907,0.2579710144927536,0.7468599033816425,,,0.03768115942028986,0.22801932367149758,0.02608695652173913,,,0.012560386473429951,,,0.09468599033816426,0.08452443973883889,0.08648127310721748,,,0.3140794223826715,0.09696475860664086,0.3440993788819876,,,0.8097165991902834,,,0.21540388227927365
LIZZIE M BURGES ALTERNATIVE SCHOOL 094901111,,98.0,345.0,,,14.0,48.0,,,,,,,79.0,13,SEGUIN ISD 094901,,,,,,,,,,,,,,,,,,,,,,,,,,
LIZZIE NELL CUNDIFF MCCLURE EL 043907126,673.0,,,,,,,,,,,,,,10,MCKINNEY ISD 043907,,,,,,,,,,,,,,,,,,,,,,,,,,
LLANO EL 150901101,426.0,19.0,47.0,,,,17.0,,,,,,,,13,LLANO ISD 150901,0.04460093896713615,0.11032863849765258,,,,0.03990610328638498,,,,,,,,0.7379565907887772,0.5994213149011413,,,,0.7659401100020371,,,,,,,
LLANO H S 150901001,592.0,147.0,539.0,,,43.0,145.0,34.0,,,18.0,,,10.0,13,LLANO ISD 150901,0.2483108108108108,0.910472972972973,,,0.07263513513513513,0.24493243243243243,0.057432432432432436,,,0.030405405405405407,,,0.016891891891891893,0.09617081348155991,0.05047420028934255,,,0.04151624548736462,0.07842737828478305,0.07950310559006211,,,0.18758434547908232,,,0.9082654978083907
LLANO J H 150901041,441.0,70.0,212.0,,,14.0,66.0,14.0,,,,,,12.0,13,LLANO ISD 150901,0.15873015873015872,0.48072562358276644,,,0.031746031746031744,0.14965986394557823,0.031746031746031744,,,,,,0.027210884353741496,0.27580730545262044,0.1809998392541392,,,0.42358604091456076,0.26970869830922795,0.2602484472049689,,,,,,0.7521916092673764
LLOYD & DOLLY BENTSEN EL 108911107,586.0,,15.0,,,,,,,,,,,,1,SHARYLAND ISD 108911,,0.025597269624573378,,,,,,,,,,,,,0.9357016556823662,,,,,,,,,,,
LLOYD M BENTSEN EL 108912116,685.0,15.0,19.0,,,,14.0,,,,,,,,1,LA JOYA ISD 108912,0.021897810218978103,0.027737226277372264,,,,0.020437956204379562,,,,,,,,0.9200635256749603,0.922118630445266,,,,0.930332043185985,,,,,,,
LLOYD R FERGUSON EL 084910117,802.0,36.0,79.0,,,,35.0,,,,,,,,4,CLEAR CREEK ISD 084910,0.04488778054862843,0.09850374064837905,,,,0.043640897755610975,,,,,,,,0.7361037586024352,0.6314097411991642,,,,0.740680382970055,,,,,,,
LOCKE HILL EL 015915109,683.0,24.0,64.0,,,,23.0,,,,,,,,20,NORTHSIDE ISD 015915,0.03513909224011713,0.09370424597364568,,,,0.03367496339677892,,,,,,,,0.8080112934533262,0.6452338852274554,,,,0.8150336117335506,,,,,,,
LOCKHART EL 101912195,692.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKHART H S 028902001,1668.0,340.0,1191.0,,,69.0,320.0,29.0,,,43.0,,,49.0,13,LOCKHART ISD 028902,0.2038369304556355,0.7140287769784173,,,0.04136690647482014,0.19184652278177458,0.01738609112709832,,,0.02577937649880096,,,0.029376498800959234,0.17275454385036174,0.09500080372930397,,,0.2656438026474128,0.1611326135669179,0.5453416149068323,,,0.2941970310391363,,,0.7232310582341891
LOCKHART J H 028902045,1486.0,258.0,1218.0,,,78.0,252.0,33.0,,,56.0,,,53.0,13,LOCKHART ISD 028902,0.17362045760430686,0.819650067294751,,,0.052489905787348586,0.1695827725437416,0.02220726783310902,,,0.03768506056527591,,,0.03566621803499327,0.2417504852655726,0.06944221186304453,,,0.1407942238267148,0.21470767977184763,0.4298136645962733,,,0.09176788124156546,,,0.641202254226675
LOCKHART PRIDE H S 028902038,71.0,,11.0,,,,,,,,,,,,13,LOCKHART ISD 028902,,0.15492957746478872,,,,,,,,,,,,,0.5046616299630284,,,,,,,,,,,
LOCKNEY EL 077902101,235.0,,,,,,,,,,,,,,17,LOCKNEY ISD 077902,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKNEY H S 077902001,148.0,14.0,20.0,,,,14.0,,,,,,,,17,LOCKNEY ISD 077902,0.0945945945945946,0.13513513513513514,,,,0.0945945945945946,,,,,,,,0.4855302629257103,0.5427583989712265,,,,0.46618455897331434,,,,,,,
LOCKNEY J H 077902041,113.0,,12.0,,,,,,,,,,,,17,LOCKNEY ISD 077902,,0.10619469026548672,,,,,,,,,,,,,0.6089053206879923,,,,,,,,,,,
LOGAN EL 071902128,523.0,,,,,,,,,,,,,,19,EL PASO ISD 071902,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHN SCHOOL 160905001,128.0,,,,,,,,,,,,,,15,LOHN ISD 160905,,,,,,,,,,,,,,,,,,,,,,,,,,
LOIS F GIDDENS EL 246913106,601.0,17.0,32.0,,,,17.0,,,,,,,,13,LEANDER ISD 246913,0.028286189683860232,0.05324459234608985,,,,0.028286189683860232,,,,,,,,0.8662431621669313,0.7885388201253818,,,,0.8593399877775514,,,,,,,
LOIS LINDSEY EL 043901118,711.0,24.0,49.0,,,,24.0,,,,,,,,10,ALLEN ISD 043901,0.03375527426160337,0.06891701828410689,,,,0.03375527426160337,,,,,,,,0.8200105876124933,0.7264909178588651,,,,0.8132002444489713,,,,,,,
LOMA PARK EL 015905112,766.0,38.0,74.0,,,,34.0,,,,,,,10.0,20,EDGEWOOD ISD 015905,0.04960835509138381,0.09660574412532637,,,,0.044386422976501305,,,,,,,0.013054830287206266,0.7019587083112758,0.6375180839093393,,,,0.7347728661641882,,,,,,,0.9641515341264871
LOMA TERRACE EL 071905109,594.0,,,,,,,,,,,,,,19,YSLETA ISD 071905,,,,,,,,,,,,,,,,,,,,,,,,,,
LOMA VERDE 071909121,747.0,,12.0,,,,,,,,,,,,19,SOCORRO ISD 071909,,0.01606425702811245,,,,,,,,,,,,,0.9850506349461501,,,,,,,,,,,
LOMAX EL 101916106,498.0,,,,,,,,,,,,,,4,LA PORTE ISD 101916,,,,,,,,,,,,,,,,,,,,,,,,,,
LOMAX J H 101916043,629.0,97.0,268.0,,,23.0,89.0,13.0,,,11.0,,,42.0,4,LA PORTE ISD 101916,0.15421303656597773,0.4260731319554849,,,0.03656597774244833,0.14149443561208266,0.02066772655007949,,,0.017488076311605722,,,0.06677265500794913,0.28515969648844186,0.21282751969136796,,,0.33634175691937424,0.2923202281523732,0.462111801242236,,,0.5802968960863698,,,0.3597370068879148
LOMETA SCHOOL 141902001,327.0,18.0,27.0,,,,16.0,,,,,,,,12,LOMETA ISD 141902,0.05504587155963303,0.08256880733944955,,,,0.04892966360856269,,,,,,,,0.6665784365625551,0.6772223115254782,,,,0.6983092279486657,,,,,,,
LONDON EL 178906101,425.0,,,,,,,,,,,,,,2,LONDON ISD 178906,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON H S 178906001,284.0,,,,,,,,,,,,,,2,LONDON ISD 178906,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON MIDDLE 178906041,380.0,28.0,49.0,,,,28.0,,,,,,,10.0,2,LONDON ISD 178906,0.07368421052631578,0.12894736842105264,,,,0.07368421052631578,,,,,,,0.02631578947368421,0.5720839950591141,0.5531265069924449,,,,0.5628437563658586,,,,,,,0.764715090795241
LONE OAK EL 116906101,478.0,16.0,25.0,,,,15.0,,,,,,,,10,LONE OAK ISD 116906,0.03347280334728033,0.05230125523012552,,,,0.03138075313807531,,,,,,,,0.8222163402152814,0.7926378395756309,,,,0.8343858219596659,,,,,,,
LONE OAK H S 116906001,385.0,60.0,96.0,,,,39.0,,,,,,,19.0,10,LONE OAK ISD 116906,0.15584415584415584,0.24935064935064935,,,,0.1012987012987013,,,,,,,0.04935064935064935,0.281806952532204,0.36762578363607135,,,,0.4391933183947851,,,,,,,0.4940513462742642
LONE OAK MIDDLE 116906041,256.0,49.0,93.0,,,,44.0,,,,,,,,10,LONE OAK ISD 116906,0.19140625,0.36328125,,,,0.171875,,,,,,,,0.1988706546673725,0.2560681562449767,,,,0.20930943165614177,,,,,,,
LONE STAR EARLY CHILDHOOD CENTER 046901102,361.0,,,,,,,,,,,,,,13,NEW BRAUNFELS ISD 046901,,,,,,,,,,,,,,,,,,,,,,,,,,
LONE STAR EL 170903105,777.0,14.0,24.0,,,,12.0,,,,,,,,6,MONTGOMERY ISD 170903,0.018018018018018018,0.03088803088803089,,,,0.015444015444015444,,,,,,,,0.959325922004588,0.9013020414724321,,,,0.974231004277857,,,,,,,
