CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER,DisciplinePopPct,DisciplineRecordCtPct,ExpelledPct,JJAEP_Pct,DAEP_Pct,ISS_Pct,Discr_DAEP_Pct,Discr_Expul_Pct,Discr_Expul_JJAEP_Pct,Mand_DAEP_Pct,Mand_Expul_Pct,Mand_Expul_JJAEP_Pct,Suspension_Pct,DisciplinePopPct_Rank,DisciplineRecordCtPct_Rank,ExpelledPct_Rank,JJAEP_Pct_Rank,DAEP_Pct_Rank,ISS_Pct_Rank,Discr_DAEP_Pct_Rank,Discr_Expul_Pct_Rank,Discr_Expul_JJAEP_Pct_Rank,Mand_DAEP_Pct_Rank,Mand_Expul_Pct_Rank,Mand_Expul_JJAEP_Pct_Rank,Suspension_Pct_Rank
TEXAS LEADERSHIP OF MIDLAND 226801002,614.0,72.0,194.0,,,,65.0,,,,,,,20.0,15,TEXAS LEADERSHIP 226801,0.11726384364820847,0.31596091205211724,,,,0.10586319218241043,,,,,,,0.03257328990228013,0.3988000705840833,0.2956116380003215,,,,0.4169892035037686,,,,,,,0.6825297432686287
TEXAS MIDDLE 019907042,1565.0,240.0,539.0,,,26.0,208.0,,,,,,,86.0,8,TEXARKANA ISD 019907,0.15335463258785942,0.34440894568690095,,,0.016613418530351438,0.1329073482428115,,,,,,,0.054952076677316296,0.28780659961178756,0.27326796334994374,,,0.7888086642599278,0.32206151965777147,,,,,,,0.4455228553537883
TEXAS ONLINE PREPARATORY EL 236902108,682.0,,,,,,,,,,,,,,6,HUNTSVILLE ISD 236902,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS ONLINE PREPARATORY H S 236902008,1090.0,,,,,,,,,,,,,,6,HUNTSVILLE ISD 236902,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS ONLINE PREPARATORY MIDDLE 236902048,1136.0,,,,,,,,,,,,,,6,HUNTSVILLE ISD 236902,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS PREPARATORY SCHOOL - AUSTIN 105802101,139.0,,,,,,,,,,,,,,13,TEXAS PREPARATORY SCHOOL 105802,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS PREPARATORY SCHOOL 105802041,150.0,29.0,54.0,,,,27.0,,,,,,,,13,TEXAS PREPARATORY SCHOOL 105802,0.19333333333333333,0.36,,,,0.18,,,,,,,,0.1949885300864655,0.2579971065745057,,,,0.19168873497657363,,,,,,,
TEXAS SCHOOL OF THE ARTS 220814101,359.0,,,,,,,,,,,,,,11,TEXAS SCHOOL OF THE ARTS 220814,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS SERENITY ACADEMY - GANO 170801004,159.0,13.0,40.0,,,,11.0,,,,,,,,6,TEXAS SERENITY ACADEMY 170801,0.08176100628930817,0.25157232704402516,,,,0.06918238993710692,,,,,,,,0.5352038115404976,0.36569683330654235,,,,0.5832145039722958,,,,,,,
TEXAS SERENITY ACADEMY 170801003,392.0,11.0,14.0,,,,10.0,,,,,,,,6,TEXAS SERENITY ACADEMY 170801,0.02806122448979592,0.03571428571428571,,,,0.025510204081632654,,,,,,,,0.8667725427916005,0.8754219578845844,,,,0.8838867386433082,,,,,,,
TEXAS VIRTUAL ACADEMY 072801145,4407.0,,,,,,,,,,,,,,11,PREMIER HIGH SCHOOLS 072801,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXHOMA EL 211901101,215.0,,,,,,,,,,,,,,16,TEXHOMA ISD 211901,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXLINE SCHOOL 056902001,190.0,,,,,,,,,,,,,,16,TEXLINE ISD 056902,,,,,,,,,,,,,,,,,,,,,,,,,,
